,depatment_id,department_name,product_id_1,product_id_2,product_name_1,product_name_2,confidence,support
0,4,produce,2295,15290,Yellow Bell Pepper,Orange Bell Pepper,0.33962264150943394,0.0030180856496124504
1,4,produce,4605,24852,Yellow Onions,Banana,0.284688995215311,0.008162549825088218
2,4,produce,4920,24852,Seedless Red Grapes,Banana,0.28627740822862774,0.008856099810226432
3,4,produce,5450,24852,Small Hass Avocado,Banana,0.27876248791492103,0.006592535573017095
4,4,produce,5876,13176,Organic Lemon,Bag of Organic Bananas,0.3044222539229672,0.00813206411145577
5,4,produce,8174,13176,Organic Navel Orange,Bag of Organic Bananas,0.3661616161616162,0.0055255355958813805
6,4,produce,8277,13176,Apple Honeycrisp Organic,Bag of Organic Bananas,0.30506216696269983,0.0052359213163731145
7,4,produce,8424,24852,Broccoli Crown,Banana,0.3154843110504775,0.00704982127750383
8,4,produce,9387,24852,Granny Smith Apples,Banana,0.3147208121827411,0.003307699929120716
9,4,produce,9839,13176,Organic Broccoli,Bag of Organic Bananas,0.3176043557168784,0.004001249914258931
10,4,produce,10749,13176,Organic Red Bell Pepper,Bag of Organic Bananas,0.26284997910572505,0.004793878468702604
11,4,produce,11777,24852,Red Raspberries,Banana,0.2940388479571333,0.003345807071161277
12,4,produce,15290,24852,Orange Bell Pepper,Banana,0.26126609442060084,0.003711635634750665
13,4,produce,16759,13176,Organic Carrot Bunch,Bag of Organic Bananas,0.2669345579793341,0.0035439642097721954
14,4,produce,16797,24852,Strawberries,Banana,0.29996920234062213,0.01484654253900266
15,4,produce,19057,13176,Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.3365617433414044,0.0074156498410932175
16,4,produce,20114,26209,Jalapeno Peppers,Limes,0.2880463401790416,0.0041689213392374
17,4,produce,21137,13176,Organic Strawberries,Bag of Organic Bananas,0.28217367358178813,0.023428270926537053
18,4,produce,22825,13176,Organic D'Anjou Pears,Bag of Organic Bananas,0.3190702588483888,0.004603342758499798
19,4,produce,22825,21137,Organic D'Anjou Pears,Organic Strawberries,0.2525092445853143,0.003643042779077655
20,4,produce,24184,24852,Red Peppers,Banana,0.2884681583476764,0.006386757005998064
21,4,produce,26209,47626,Limes,Large Lemon,0.264379247472236,0.012156178310939037
22,4,produce,27521,13176,Organic Lacinato (Dinosaur) Kale,Bag of Organic Bananas,0.2578080636002271,0.0034601284972829607
23,4,produce,27966,13176,Organic Raspberries,Bag of Organic Bananas,0.32095203750450774,0.013566142566439803
24,4,produce,27966,21137,Organic Raspberries,Organic Strawberries,0.3011179228272629,0.012727785441547455
25,4,produce,28199,24852,"Clementines, Bag",Banana,0.3152909336941813,0.0035515856381803075
26,4,produce,28204,24852,Organic Fuji Apple,Banana,0.37150752225974826,0.009221928373815821
27,4,produce,28842,26209,Bunched Cilantro,Limes,0.290625,0.0042527570517266345
28,4,produce,29487,24852,Roma Tomato,Banana,0.2928827444956477,0.004359457049440206
29,4,produce,30391,13176,Organic Cucumber,Bag of Organic Bananas,0.2748753522653371,0.009663971221486331
30,4,produce,31717,26209,Organic Cilantro,Limes,0.2855927396483267,0.007674778406969034
31,4,produce,34969,24852,Red Vine Tomato,Banana,0.26589077887197854,0.004527128474418675
32,7,beverages,35221,44632,Lime Sparkling Water,Sparkling Water Grapefruit,0.2568667344862665,0.0038488213460966853
33,4,produce,37646,13176,Organic Gala Apples,Bag of Organic Bananas,0.28835884656461375,0.006173357010570921
34,4,produce,39275,21137,Organic Blueberries,Organic Strawberries,0.25553765606121626,0.009671592649894444
35,4,produce,39877,13176,Organic Granny Smith Apple,Bag of Organic Bananas,0.2781343602909713,0.0049539284652729615
36,4,produce,39928,13176,Organic Kiwi,Bag of Organic Bananas,0.3478723404255319,0.004984414178905411
37,4,produce,39928,21137,Organic Kiwi,Organic Strawberries,0.275,0.003940278486994032
38,4,produce,41787,24852,Bartlett Pears,Banana,0.3860811930405965,0.0035515856381803075
39,4,produce,41950,13176,Organic Tomato Cluster,Bag of Organic Bananas,0.2501970055161544,0.004839607039151278
40,4,produce,43961,24852,Organic Peeled Whole Baby Carrots,Banana,0.26260162601626014,0.004923442751640512
41,4,produce,45066,24852,Honeycrisp Apple,Banana,0.34666291185581527,0.009381978370386177
42,4,produce,46906,24852,Grape White/Green Seedless,Banana,0.2632612966601179,0.003063814220061124
43,4,produce,47209,13176,Organic Hass Avocado,Bag of Organic Bananas,0.33182503770739064,0.018443856747631642
44,4,produce,47626,24852,Large Lemon,Banana,0.26527350952673634,0.016447042504706234
45,4,produce,47766,24852,Organic Avocado,Banana,0.2990956944256985,0.016889085352376744
46,4,produce,49683,24852,Cucumber Kirby,Banana,0.307915457936179,0.0056627213072274005
